STATUS,GTIN_14,GTIN_12_UPC,PACKAGING_TYPE,PACKAGING_LEVEL,PRODUCT_DESCRIPTION,SKU
In Use,00811767020008,811767020008,Regular,Each,FREEDOM K FEMORAL PS L A,UFPSLA00-K
In Use,00811767020015,811767020015,Regular,Each,FREEDOM K FEMORAL PS L B,UFPSLB00-K
In Use,00811767020022,811767020022,Regular,Each,FREEDOM K FEMORAL PS L C,UFPSLC00-K
In Use,00811767020039,811767020039,Regular,Each,FREEDOM K FEMORAL PS L D,UFPSLD00-K
In Use,00811767020046,811767020046,Regular,Each,FREEDOM K FEMORAL PS L E,UFPSLE00-K
In Use,00811767020053,811767020053,Regular,Each,FREEDOM K FEMORAL PS L F,UFPSLF00-K
In Use,00811767020060,811767020060,Regular,Each,FREEDOM K FEMORAL PS L G,UFPSLG00-K
In Use,00811767020077,811767020077,Regular,Each,FREEDOM K FEMORAL PS L H,UFPSLH00-K
In Use,00811767020084,811767020084,Regular,Each,FREEDOM K FEMORAL PS R A,UFPSRA00-K
In Use,00811767020091,811767020091,Regular,Each,FREEDOM K FEMORAL PS R B,UFPSRB00-K
In Use,00811767020107,811767020107,Regular,Each,FREEDOM K FEMORAL PS R C,UFPSRC00-K
In Use,00811767020114,811767020114,Regular,Each,FREEDOM K FEMORAL PS R D,UFPSRD00-K
In Use,00811767020121,811767020121,Regular,Each,FREEDOM K FEMORAL PS R E,UFPSRE00-K
In Use,00811767020138,811767020138,Regular,Each,FREEDOM K FEMORAL PS R F,UFPSRF00-K
In Use,00811767020145,811767020145,Regular,Each,FREEDOM K FEMORAL PS R G,UFPSRG00-K
In Use,00811767020152,811767020152,Regular,Each,FREEDOM K FEMORAL PS R H,UFPSRH00-K
In Use,00811767020169,811767020169,Regular,Each,FREEDOM K FEMORAL CR L A,UFCRLA00-K
In Use,00811767020176,811767020176,Regular,Each,FREEDOM K FEMORAL CR L B,UFCRLB00-K
In Use,00811767020183,811767020183,Regular,Each,FREEDOM K FEMORAL CR L C,UFCRLC00-K
In Use,00811767020190,811767020190,Regular,Each,FREEDOM K FEMORAL CR L D,UFCRLD00-K
In Use,00811767020206,811767020206,Regular,Each,FREEDOM K FEMORAL CR L E,UFCRLE00-K
In Use,00811767020213,811767020213,Regular,Each,FREEDOM K FEMORAL CR L F,UFCRLF00-K
In Use,00811767020220,811767020220,Regular,Each,FREEDOM K FEMORAL CR L G,UFCRLG00-K
In Use,00811767020237,811767020237,Regular,Each,FREEDOM K FEMORAL CR L H,UFCRLH00-K
In Use,00811767020244,811767020244,Regular,Each,FREEDOM K FEMORAL CR R A,UFCRRA00-K
In Use,00811767020251,811767020251,Regular,Each,FREEDOM K FEMORAL CR R B,UFCRRB00-K
In Use,00811767020268,811767020268,Regular,Each,FREEDOM K FEMORAL CR R C,UFCRRC00-K
In Use,00811767020275,811767020275,Regular,Each,FREEDOM K FEMORAL CR R D,UFCRRD00-K
In Use,00811767020282,811767020282,Regular,Each,FREEDOM K FEMORAL CR R E,UFCRRE00-K
In Use,00811767020299,811767020299,Regular,Each,FREEDOM K FEMORAL CR R F,UFCRRF00-K
In Use,00811767020305,811767020305,Regular,Each,FREEDOM K FEMORAL CR R G,UFCRRG00-K
In Use,00811767020312,811767020312,Regular,Each,FREEDOM K FEMORAL CR R H,UFCRRH00-K
In Use,00811767020329,811767020329,Regular,Each,"FREEDOM K TIBIAL LINER PS A1 ALLPOLY, 09mm",ALPSXA109-K
In Use,00811767020336,811767020336,Regular,Each,"FREEDOM K TIBIAL LINER PS A1 ALLPOLY, 11mm",ALPSXA111-K
In Use,00811767020343,811767020343,Regular,Each,"FREEDOM K TIBIAL LINER PS A1 ALLPOLY, 14mm",ALPSXA114-K
In Use,00811767020350,811767020350,Regular,Each,"FREEDOM K TIBIAL LINER PS A1 ALLPOLY, 17mm",ALPSXA117-K
In Use,00811767022262,811767022262,Regular,Each,"FREEDOM K TIBIAL LINER PS A1 ALLPOLY, 20mm",ALPSXA120-K
In Use,00810008126134,810008126134,Regular,Each,"Freedom All Poly Tibial PS, Size B1, 09mm",ALPSXB109-K
In Use,00810008126141,810008126141,Regular,Each,"Freedom All Poly Tibial PS, Size B1, 11mm",ALPSXB111-K
In Use,00810008126158,810008126158,Regular,Each,"Freedom All Poly Tibial PS, Size B1, 14mm",ALPSXB114-K
In Use,00810008126165,810008126165,Regular,Each,"Freedom All Poly Tibial PS, Size B1, 17mm",ALPSXB117-K
In Use,00811767020367,811767020367,Regular,Each,"FREEDOM K TIBIAL LINER PS B2 ALLPOLY, 09mm",ALPSXB209-K
In Use,00811767020374,811767020374,Regular,Each,"FREEDOM K TIBIAL LINER PS B2 ALLPOLY, 11mm",ALPSXB211-K
In Use,00811767020381,811767020381,Regular,Each,"FREEDOM K TIBIAL LINER PS B2 ALLPOLY, 14mm",ALPSXB214-K
